Tym,USA,Kanada,Rusko,Švédsko,Finsko,Česko,Slovensko,Ukrajina,Lotyšsko,Bělorusko,Dánsko,Švýcarsko,Německo,Kazachstán,Rakousko,Norsko,Francie,Slovinsko,Itálie
USA,"Jimmy Howard (Detroit), Ryan Miller (Buffalo), Jonathan Quick (Los Angeles), Paul Martin (Pittsburgh), Brooks Orpik (Pittsburgh), John Carlson (Washington), Justin Faulk (Carolina), Cam Fowler (Anaheim), Ryan McDonagh (NY Rangers), Kevin Shattenkirk (St. Louis), Ryan Suter (Minnesota), David Backes (St. Louis), T.J. Oshie (St. Louis), Ryan Callahan (NY Rangers), Derek Stepan (NY Rangers), Dustin Brown (Los Angeles), Patrick Kane (Chicago), Zach Parise (Minnesota), Joe Pavelski (San Jose), Paul Stastny (Colorado)","Phil Kessel (Toronto), James van Riemsdyk  (Toronto), Ryan Kesler (Vancouver), Max Pacioretty (Montreal), Blake Wheeler (Winnipeg) ",,,,,,,,,,,,,,,,,
Kanada,"Mike Smith (Phoenix), Drew Doughty (Los Angeles), Shea Weber (Nashville), Alex Pietrangelo  (St. Louis), Jay Bouwmeester (St. Louis), Duncan Keith (Chicago), Marc-Edouard Vlasic (San Jose), Sidney Crosby (Pittsburgh), Chris Kunitz (Pittsburgh), Jonathan Toews (Chicago), Patrick Sharp (Chicago), John Tavares (NY Islanders), Ryan Getzlaf (Anaheim), Corey Perry (Anaheim), Patrice Bergeron (Boston), Steven Stamkos (Tampa Bay), Rick Nash (NY Rangers), Patrick Marleau (San Jose), Jamie Benn (Dallas), Matt Duchene (Colorado), Jeff Carter (Los Angeles).","Carey Price (Montreal), Roberto Luongo (Vancouver), P.K. Subban (Montreal), Dan Hamhuis (Vancouver), ",,,,,,,,,,,,,,,,,
Rusko,"Semjon Varlamov (Colorado), Sergej Bobrovskij (Columbus), Fjodor Tjutin (Columbus), Nikita Nikitin (Columbus), Vjačeslav Vojnov (Los Angeles), Alexander Ovečkin (Washington, NHL), Jevgenij Malkin (Pittsburgh, NHL), Pavel Dacjuk (Detroit, NHL), Artěm Anisimov (Columbus, NHL), Vladimír Tarasenko (St. Louis, NHL), Valerij Ničuškin (Dallas, NHL)","Andrej Markov (Montreal), Alexej Jemelin (Montreal), Anton Bělov (Edmonton), Nikolaj Kuljomin (Toronto), ","Alexander Jerjomenko (Dynamo Moskva), Ilja Nikulin (Kazaň), Jevgenij Medvěděv (Kazaň), Alexander Radulov (CSKA Moskva), Ilja Kovalčuk  (Petrohrad), Viktor Tichonov (Petrohrad), Alexander Radulov (CSKA Moskva), Alexej Těreščenko (Kazaň), Alexander Popov (Omsk), Děnis Kokarev (Dynamo Moskva), Sergej Sojn (Dynamo Moskva)",,,,,,,,,,,,,,,,
Švédsko,"Henrik Lundqvist (New York Rangers), Jonas Gustavsson (Detroit), Jhonas Enroth (Buffalo), Niklas Kronwall (Detroit), Jonathan Eriksson (Detroit), Niklas Hjalmarsson (Chicago), Johnny Odduya (Chicago), Oliver Ekman-Larsson (Phoenix), Henrik Tallinder (Buffalo), Henrik Zetterberg (Detroit), Daniel Alfredsson (Detroit), Johan Franzén (Detroit), Nicklas Bäckström (Washington), Alexander Steen  (St. Louis), Patrik Berglund (St. Louis), Loui Eriksson (Boston), Gabriel Landeskog (Colorado), Marcus Krüger (Chicago), Carl Hagelin (New York Rangers),  Jacob Silfverberg (Anaheim), ",,,Jimmie Ericsson (Skelleftea),,,,,,,,,,,,,,,
Slovensko,"Jaroslav Halák (St. Louis), Zdeno Chára (Boston), Ľubomír Višňovský (New York Islanders), Andrej Sekera (Carolina),  Andrej Meszároš (Philadelphia), Marián Hossa (Chicago), Michal Handzuš (Chicago), Marián Gáborík (Columbus), Tomáš Kopecký (Florida), Tomáš Tatar (Detroit), Tomáš Jurčo (Detroit), Richard Pánik (Tampa Bay), ","Peter Budaj (Montreal), Martin Marinčin (Edmonton, NHL),","Dominik Graňák (Dynamo Moskva), Ivan Baranka (Omsk), Tomáš Záborský (Ufa)",,,,"Tomáš Marcinko (Košice), Michal Sersen (Slovan Bratislava - KHL), Michel Miklík (Slovan Bratislava - KHL), Milan Bartovič (Slovan Bratislava - KHL), Peter Ölvecký (Slovan Bratislava - KHL), ",Ján Laco (Doněck - KHL),"Marcel Hossa (Dynamo Riga - KHL),",Tomáš Surový (Dynamo Minsk - KHL),,,,,,,,,
Lotyšsko,"Kristers Gudlevskis (Syracuse - AHL), (Bowlinmg Green State Univ - NCAA), Zemgus Girgensons (Buffalo), ",,"Arturs Kulda (Ufa), Martinš Karsums (Dynamo Moskva), Mikelis Redlihs (Jaroslavl), Janis Sprukts (Jaroslavl), ",,,"Koba Jass (Liberec), ","Juris Stals (Poprad), ",Oskars Bartulis (Doněck - KHL),"Sandis Ozolinš (Dynamo Riga - KHL), Georgijs Pujacs (Dynamo Riga - KHL), Krisjanis Redlihs (Dynamo Riga - KHL), Arvids Rekis (Dynamo Riga - KHL), Kristaps Sotnieks (Dynamo Riga - KHL), Miks Indrašis (Dynamo Riga - KHL), Martinš Cipulis (Dynamo Riga - KHL), Vitalijs Pavlovs (Dynamo Riga - KHL)",,"Ervinš Mustukovs (Esbjerg - Dánsko), ","Kaspars Daugavinš (Ženeva), Ronalds Keninš (SC Curych)",Herberts Vasiljevs (Krefeld),"Armands Berzinš (Atyrau), ",,,,,
Finsko,"Kari Lehtonen (Dallas), Antti Niemi (San Jose), Tuukka Rask (Boston), Olli Määttä (Pittsburgh), Sami Salo (Tampa Bay) Kimmo Timonen (Philadelphia), Sami Vatanen (Anaheim), Aleksander Barkov (Florida), Valtteri Filppula (Tampa Bay), Mikael Granlund (Minnesota), Mikko Koivu (Minnesota), Jussi Jokinen (Pittsburgh), Lauri Korpikoski (Phoenix), Antti Pihlström (Carolina), Tuomo Ruutu (Carolina), Teemu Selänne (Anaheim), ","Olli Jokinen (Winnipeg), ","Juuso Hietanen (Nižnyj Novgorod), Sami Lepistö (Jekatěrinburg), Leo Komarov (Dynamo Moskva), Petri Kontiola (Čeljabinsk), Jori Lehterä (Novosibirsk)",,"Lasse Kukkonen (Oulu), Ossi Väänänen (Jokerit), Juhamatti Aaltonen  (Oulu)",,,,,,,,,,,,,,
Česko,"Radko Gudas (Tampa Bay), Zbyněk Michálek (Phoenix), Michal Rozsíval (Chicago), Marek Židlický (New Jersey), Patrik Eliáš (New Jersey), Martin Hanzal (Phoenix), Jaromír Jágr (New Jersey), David Krejčí (Boston), Ondřej Palát (Tampa Bay), Vladimír Sobotka (St. Louis), Jakub Voráček (Philadelphia), ","Ondřej Pavelec (Winnipeg),  Ladislav Šmíd (Calgary), Michael Frolík (Winnipeg), Milan Michálek (Ottawa), Tomáš Plekanec (Montreal), ","Jakub Kovář (Jekatěrinburg), Alexander Salák (Petrohrad), Roman Červenka (Petrohrad), ",,,"Michal Barinka (Vítkovice), Tomáš Kaberle (Kladno), Petr Nedvěd (Liberec), Jiří Novotný (Lev Praha), ",,,,Lukáš Krajíček (Dynamo Minsk KHL),,,,,,,,,
Rakousko,"Michael Grabner (NY Islanders), Thomas Vanek (NY Islanders), Michael Raffl (Philadelphia)",,,"Bernhard Starkbaum (Gävle), Thomas Hundertpfund (Timra)",,,,,,,,"Stefan Ulmer (Lugano), Oliver Setzinger (Lausanne), Raphael Herburger (Biel)",,,"René Swette (Klagenfurt), Fabian Weinhandl (Klagenfurt), Mario Altmann (Villach), Gerhard Unterluggauer (Villach), Florian Iberer (Klagenfurt), Thomas Pöck (Klagenfurt), Andre Lakos (Vídeň), Robert Lukas (Linec), Matthias Trattnig (Salcburk), Matthias Iberer (Linec), Brian Lebler (Linec), Daniel Oberkofler (Linec), Manuel Latusa (Salcburk), Thomas Raffl (Salcburk), Andreas Kristler (Salcburk), Daniel Welser (Salcburk)",,,,
Švýcarsko,"Jonas Hiller (Anaheim), Roman Josi (Nashville), Mark Streit (Philadelphia), Damien Brunner (New Jersey), Simon Moser (Milwaukee, AHL), Nino Niederreiter (Minnesota)","Reto Berra (Calgary), Yannick Weber (Vancouver), ",,,,,,,,,,"Tobias Stephan (Ženeva), Severin Blindenbacher (Curych), Matthias Seger (Curych), Philippe Furrer (Bern), Julien Vauclair (Lugano), Luca Cunti (Curych), Morris Trachsler (Curych), Roman Wick (Curych), Ryan Gardner (Bern), Martin Plüss (Bern), Matthias Bieber (Kloten), Simon Bodenmann (Kloten), Andres Ambühl (Davos), Denis Hollenstein (Ženeva), Kevin Romy (Ženeva), Reto Suri (Zug)",,,,,,,
Norsko,"Henrik Ødegaard (Missouri - CHL), Mats Zuccarello (NY Rangers)",,"Jonas Holøs (Jaroslavl), Patrick Thoresen (Petrohrad), ","Ole-Kristian Tollefsen (Färjestad), Anders Bastiansen (Färjestad), Robin Dahlstrøm (Örebro), Kristian Forsberg (Modo), Marius Holtet (Färjestad), Mathis Olimb (Frölunda), Mats Rosseli Olsen (Frölunda), Niklas Roest (Karlskoga - 2. švédská liga), Martin Røymark (Färjestad), Per-Åge Skrøder (Modo)",Lars Volden (Espoo),,,,,Lars Haugen (Dynamo Minsk - KHL),,,Ken André Olimb (Düsseldorf),,,"Steffen Søberg (Oslo), Alexander Bonsaksen (Oslo), Henrik Solberg (Stavanger), Daniel Sørvik (Oslo), Mats Trygg (Lørenskog), Morten Ask (Oslo), Mads Hansen (Storhamar), Sondre Olden (Oslo), ",,,
Slovinsko,Anže Kopitar (Los Angeles),,Jan Muršak (CSKA Moskva),"Žiga Pavlin (Troja-Ljungby - 2.liga), Tomaž Razingar (Troja-Ljungby - 2. liga),  David Rodman (Oskarshamn - 2.liga), ",,"Blaž Gregorc (Pardubice), Matic Podlipnik (Jihlava 1. liga)","Robert Kristan (Nitra), ",,,,,,"Žiga Jeglič (Ingolstadt), Robert Sabolič (Ingolstadt), Marcel Rodman (Schwenningen), Jan Urbas (Mnichov), Aleš Kranjc (Kolín n.R.), Mitja Robar (Krefeld), Rok Tičar (Kolín n.R.), ",Sabahudin Kovačevič (Sary-Arka Karaganda - 2. ruská liga VHL),"Luka Gračnar (Salzburg), Klemen Pretnar (Villach), ",,"Andrej Hočevar (Epinal), Andrej Tavželj (Rouen), Anže Kuralt (Epinal), Boštjan Goličič (Briancon), ","Aleš Mušič (Olympija Lublaň - EBEL), Miha Verlič (Olympija Lublaň - EBEL)",Žiga Pance (Bolzano - EBEL)